"","name","lat","long","segment","isCentralOffice"
"76","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,38,TRUE
"77","ALTWPAMT VERIZON PENNSYLVANIA, INC.",40.5759,-75.4579,39,TRUE
"78","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,39,TRUE
"79","ALTWPAMT VERIZON PENNSYLVANIA, INC.",40.5759,-75.4579,40,TRUE
"80","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,40,TRUE
"81","ALTWPACY CHOICE ONE COMMUNICATIONS, INC.",40.5867,-75.6114,41,TRUE
"82","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,41,TRUE
"83","ALTWPACY CHOICE ONE COMMUNICATIONS, INC.",40.5867,-75.6114,42,TRUE
"84","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,42,TRUE
"85","ALTWPAAE XO PENNSYLVANIA, INC.",40.639,-75.4494,43,TRUE
"86","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,43,TRUE
"87","ALTWPAAE XO PENNSYLVANIA, INC.",40.639,-75.4494,44,TRUE
"88","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,44,TRUE
"89","CPBGPAXC COMMONWEALTH TELEPHONE COMPANY",40.5156,-75.3892,45,TRUE
"90","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,45,TRUE
"91","CPBGPAXC COMMONWEALTH TELEPHONE COMPANY",40.5156,-75.3892,46,TRUE
"92","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,46,TRUE
"93","EMMSPA01 SERVICE ELECTRIC TELEPHONE, INC.",40.5316,-75.5004,47,TRUE
"94","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,47,TRUE
"95","EMMSPA01 SERVICE ELECTRIC TELEPHONE, INC.",40.5316,-75.5004,48,TRUE
"96","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,48,TRUE
"97","EMMSPAXE VERIZON NORTH INC.-PA (CONTEL)",40.5326,-75.492,49,TRUE
"98","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,49,TRUE
"99","EMMSPAXE VERIZON NORTH INC.-PA (CONTEL)",40.5326,-75.492,50,TRUE
"100","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,50,TRUE
"101","FUTNPA01 SERVICE ELECTRIC TELEPHONE, INC.",40.6386,-75.4796,51,TRUE
"102","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,51,TRUE
"103","FUTNPA01 SERVICE ELECTRIC TELEPHONE, INC.",40.6386,-75.4796,52,TRUE
"104","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,52,TRUE
"105","MCNGPAXM VERIZON NORTH INC.-PA (CONTEL)",40.5181,-75.5581,53,TRUE
"106","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,53,TRUE
"107","MCNGPAXM VERIZON NORTH INC.-PA (CONTEL)",40.5181,-75.5581,54,TRUE
"108","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,54,TRUE
"109","SLTTPAES VERIZON PENNSYLVANIA, INC.",40.75,-75.6112,55,TRUE
"110","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,55,TRUE
"111","SLTTPAES VERIZON PENNSYLVANIA, INC.",40.75,-75.6112,56,TRUE
"112","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,56,TRUE
"113","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,57,TRUE
"114","MCNGPAXM VERIZON NORTH INC.-PA (CONTEL)",40.5181,-75.5581,57,TRUE
"115","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,58,TRUE
"116","ALTWPACY CHOICE ONE COMMUNICATIONS, INC.",40.5867,-75.6114,58,TRUE
"117","NATNPAAC BLUE LICENSES HOLDING, LLC",40.6041,-75.4681,59,TRUE
"118","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,59,TRUE
"119","NATNPAAC BLUE LICENSES HOLDING, LLC",40.6041,-75.4681,60,TRUE
"120","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,60,TRUE
"121","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,61,TRUE
"122","1025765 New Cingular Wireless Pcs LLC (AT&T)",40.458056,-75.695417,61,FALSE
"123","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,62,TRUE
"124","1025765 New Cingular Wireless Pcs LLC (AT&T)",40.458056,-75.695417,62,FALSE
"125","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,63,TRUE
"126","1025765 New Cingular Wireless Pcs LLC (AT&T)",40.458056,-75.695417,63,FALSE
"127","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,64,TRUE
"128","1200419 Pennsylvania Turnpike Commission",40.769528,-75.694333,64,FALSE
"129","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,65,TRUE
"130","1200419 Pennsylvania Turnpike Commission",40.769528,-75.694333,65,FALSE
"131","BNGRPAXB COMMONWEALTH TELEPHONE COMPANY",40.8696,-75.2112,66,TRUE
"132","1200419 Pennsylvania Turnpike Commission",40.769528,-75.694333,66,FALSE
"133","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,67,TRUE
"134","1026939 Global Signals Acquisition LLC",40.8175,-75.6925,67,FALSE
"135","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,68,TRUE
"136","1026939 Global Signals Acquisition LLC",40.8175,-75.6925,68,FALSE
"137","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,69,TRUE
"138","1026939 Global Signals Acquisition LLC",40.8175,-75.6925,69,FALSE
"139","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,70,TRUE
"140","1026938 Global Signals Acquisition LLC",40.8175,-75.691944,70,FALSE
"141","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,71,TRUE
"142","1026938 Global Signals Acquisition LLC",40.8175,-75.691944,71,FALSE
"143","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,72,TRUE
"144","1026938 Global Signals Acquisition LLC",40.8175,-75.691944,72,FALSE
"145","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,73,TRUE
"146","1026939 Global Signals Acquisition LLC",40.8175,-75.691944,73,FALSE
"147","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,74,TRUE
"148","1026939 Global Signals Acquisition LLC",40.8175,-75.691944,74,FALSE
"149","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,75,TRUE
"150","1026939 Global Signals Acquisition LLC",40.8175,-75.691944,75,FALSE
"151","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,76,TRUE
"152","1026940 Global Signals Acquisition LLC",40.8175,-75.691944,76,FALSE
"153","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,77,TRUE
"154","1026940 Global Signals Acquisition LLC",40.8175,-75.691944,77,FALSE
"155","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,78,TRUE
"156","1026940 Global Signals Acquisition LLC",40.8175,-75.691944,78,FALSE
"157","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,79,TRUE
"158","1026938 Global Signals Acquisition LLC",40.8175,-75.691389,79,FALSE
"159","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,80,TRUE
"160","1026938 Global Signals Acquisition LLC",40.8175,-75.691389,80,FALSE
"161","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,81,TRUE
"162","1026938 Global Signals Acquisition LLC",40.8175,-75.691389,81,FALSE
"163","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,82,TRUE
"164","1026940 Global Signals Acquisition LLC",40.816944,-75.691389,82,FALSE
"165","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,83,TRUE
"166","1026940 Global Signals Acquisition LLC",40.816944,-75.691389,83,FALSE
"167","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,84,TRUE
"168","1026940 Global Signals Acquisition LLC",40.816944,-75.691389,84,FALSE
"169","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,85,TRUE
"170","1237140 American Towers LLC",40.83025,-75.6885,85,FALSE
"171","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,86,TRUE
"172","1237140 American Towers LLC",40.83025,-75.6885,86,FALSE
"173","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,87,TRUE
"174","1237140 American Towers LLC",40.83025,-75.6885,87,FALSE
"175","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,88,TRUE
"176","1237736 Sba Properties LLC",40.814778,-75.682222,88,FALSE
"177","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,89,TRUE
"178","1237736 Sba Properties LLC",40.814778,-75.682222,89,FALSE
"179","ESTNPAEA VERIZON PENNSYLVANIA, INC.",40.6936,-75.2099,90,TRUE
"180","1237736 Sba Properties LLC",40.814778,-75.682222,90,FALSE
"181","PTLDPAXP COMMONWEALTH TELEPHONE COMPANY",40.921,-75.098,91,TRUE
"182","1025086 Commonwealth Of Pennsylvania State Police",40.904167,-75.680833,91,FALSE
"183","RMNHPAXR COMMONWEALTH TELEPHONE COMPANY",40.8484,-75.1419,92,TRUE
"184","1025086 Commonwealth Of Pennsylvania State Police",40.904167,-75.680833,92,FALSE
"185","SFTBPA01 SERVICE ELECTRIC TELEPHONE, INC.",40.5569,-75.2898,93,TRUE
