Road1,Road2,long1,lat1,long2,lat2
UNION BLVD,6TH ST,-75.474754000000019,40.612366000000009,,
S145,TILGHMAN ST,-75.47676100000001,40.611958000000016,,
S145,S145,-75.47715,40.612968000000023,,
S145,S145,-75.47676100000001,40.611958000000016,,
S145,6TH ST,-75.47715,40.612968000000023,,
S378,S378,-75.384697000000017,40.610184000000004,,
S378,S378,-75.384682,40.614203999999972,,
S378,RIVER ST,-75.384682,40.614203999999972,,
S378,S412,-75.384697000000017,40.610184000000004,,
U22,N CEDAR CREST BLVD,-75.532103,40.609703000000025,,
U22,U22,-75.501884000000018,40.61856499999999,,
U22,S1017,-75.501884000000018,40.61856499999999,,
U22,U22,-75.532103,40.609703000000025,,
U22,CEDAR CREST BLVD,-75.532103,40.609703000000025,,
N CEDAR CREST BLVD,U22,-75.532103,40.609703000000025,,
N CEDAR CREST BLVD,CEDAR CREST BLVD,-75.532103,40.609703000000025,,
S378,EMAUS AV,-75.385849000000007,40.608513000000016,,
S378,S412,-75.384697000000017,40.610184000000004,,
S611,S611,-75.199089000000015,40.60762,,
S611,S611,-75.182335000000023,40.671966999999995,,
S329,S329,-75.502725,40.688820000000021,,
S329,S329,-75.503113999999982,40.688755000000015,,
S329,S329,-75.458496000000025,40.696559999999977,,
S611,KNOX AV,-75.209388999999987,40.688534000000004,,
S611,S611,-75.209388999999987,40.688534000000004,,
S611,S248,-75.206032,40.691359999999975,,
S611,S611,-75.206032,40.691359999999975,,
KNOX AV,S611,-75.209388999999987,40.688534000000004,,
KNOX AV,S248,-75.209769999999992,40.694108000000028,,
KNOX AV,KNOX AV,-75.209769999999992,40.694108000000028,,
KNOX AV,S248,-75.209769999999992,40.694108000000028,,
U22,KNOX AV,-75.20980800000001,40.694561000000022,,
