Road,Order,long,lat
S29,19,-75.529739,40.47820999999999
S29,20,-75.528960999999981,40.478760000000023
S29,21,-75.52713,40.480518000000018
S29,22,-75.52652599999999,40.480999
S29,23,-75.524521,40.482898999999975
S29,24,-75.524223,40.483261000000027
S29,25,-75.523857000000021,40.483898000000011
S29,26,-75.523773,40.485760000000028
S29,27,-75.523857000000021,40.486580000000004
S29,28,-75.523888,40.488338
S29,29,-75.524009999999976,40.489010000000007
S29,30,-75.524689000000023,40.49031100000002
S29,31,-75.526489000000026,40.492989000000023
S29,32,-75.526673000000017,40.493518999999992
S29,33,-75.526755999999978,40.49356
S29,34,-75.527107,40.494572000000005
S29,35,-75.527381999999989,40.495257999999978
S29,36,-75.527527000000021,40.496078000000011
S29,37,-75.527649,40.496170000000006
S29,38,-75.528252000000009,40.498211000000026
S329,1,-75.564620999999988,40.679629999999975
S329,2,-75.564182000000017,40.679693999999984
S329,3,-75.563720999999987,40.679759999999987
S329,4,-75.562698000000012,40.679859000000022
S329,5,-75.560592999999983,40.679919999999981
S329,6,-75.557053,40.67944
S329,7,-75.556540999999982,40.679390000000012
S329,8,-75.552642999999989,40.677719000000025
S329,9,-75.550307999999973,40.676765999999986
S329,10,-75.548721,40.676979000000017
S329,11,-75.547240999999985,40.676979000000017
S329,12,-75.54141199999998,40.677192999999988
S329,13,-75.539924999999982,40.67804000000001
S329,14,-75.538123999999982,40.678569999999979
S329,15,-75.536956999999973,40.678780000000017
S329,16,-75.535263999999984,40.678885999999977
S329,17,-75.534447,40.679611000000023
S329,18,-75.532790999999975,40.680019000000016
S329,19,-75.530273000000022,40.680309000000022
S329,20,-75.52963299999999,40.680698000000007
S329,21,-75.528999,40.681549000000018
S329,22,-75.528610000000015,40.682049000000006
S329,23,-75.528373999999985,40.682258999999988
S329,24,-75.528008,40.68244199999998
S329,25,-75.527260000000012,40.682652000000019
S329,26,-75.526871000000028,40.682708999999988
S329,27,-75.52615400000002,40.682491000000027
S329,28,-75.524986000000013,40.682384000000013
S329,29,-75.522338999999988,40.682384000000013
S329,30,-75.519500999999991,40.682682
S33,1,-75.293579000000022,40.666584
S33,2,-75.293114,40.669669999999996
S33,3,-75.292679000000021,40.671619000000021
S33,4,-75.292174999999986,40.673428
S33,5,-75.291884999999979,40.67465199999998
S33,6,-75.291512000000012,40.675914999999975
S33,7,-75.291228999999987,40.676575000000014
S33,8,-75.29001599999998,40.678486000000021
S33,9,-75.289673,40.679224999999974
S33,10,-75.289368000000024,40.679977000000008
S33,11,-75.289138999999977,40.680939000000023
S33,12,-75.289039,40.681743999999981
S33,13,-75.289078000000018,40.682639999999992
S33,14,-75.28909299999998,40.682964000000027
S33,15,-75.289078000000018,40.683097999999973
WILLIAM PENN HWY,1,-75.293579000000022,40.666584
WILLIAM PENN HWY,2,-75.291953999999976,40.666427999999996
WILLIAM PENN HWY,3,-75.290413,40.666199000000006
WILLIAM PENN HWY,4,-75.288560000000018,40.666199000000006
WILLIAM PENN HWY,5,-75.287476000000026,40.666199000000006
WILLIAM PENN HWY,6,-75.286629,40.666274999999985
WILLIAM PENN HWY,7,-75.285706,40.666427999999996
WILLIAM PENN HWY,8,-75.284851,40.666508000000022
WILLIAM PENN HWY,9,-75.283699000000013,40.666658999999981
WILLIAM PENN HWY,10,-75.281921000000011,40.66681699999998
WILLIAM PENN HWY,11,-75.280457000000013,40.666968999999995
WILLIAM PENN HWY,12,-75.279143999999974,40.667431000000022
WILLIAM PENN HWY,13,-75.278450000000021,40.667587000000026
WILLIAM PENN HWY,14,-75.277596000000017,40.667973000000018
WILLIAM PENN HWY,15,-75.276824999999974,40.668281999999977
WILLIAM PENN HWY,16,-75.276291000000015,40.668358000000012
WILLIAM PENN HWY,17,-75.275749000000019,40.668667000000028
WILLIAM PENN HWY,18,-75.274895000000015,40.669052000000022
WILLIAM PENN HWY,19,-75.272429999999986,40.669758
WILLIAM PENN HWY,20,-75.270393000000013,40.670563000000016
WILLIAM PENN HWY,21,-75.267791999999986,40.671936000000017
WILLIAM PENN HWY,22,-75.265609999999981,40.673355000000015
WILLIAM PENN HWY,23,-75.264603000000022,40.674217999999996
WILLIAM PENN HWY,24,-75.263734,40.674950000000024
WILLIAM PENN HWY,25,-75.26265699999999,40.675808000000018
