ID,BridgeClass,Census Tract,Name,Owner,BridgeType,Width,NumSpans,MaxSpanLength,SkewAngle,SeatLength,SeatWidth,YearBuilt,YearRemodeled,PierType,FoundationType,ScourIndex,Traffic,TrafficIndex,Condition,Cost,Latitude,Longitude
PA014972,HWB28,42077009500,PA 378(LR 297),State Highway Agency,,18.9,10,52,0,,,1924,0,H062400000,,6,33621,,,"16,353.07",40.61667,-75.385
PA014973,HWB17,42077009300,SR 1031(14TH AVE.),State Highway Agency,,16.6,4,18,7,,,1967,0,H043600000,,9,320,,,"1,788.05",40.62639,-75.40361
PA014975,HWB17,42077009300,SR1018(EATON AVE.),State Highway Agency,,19.4,3,19,21,,,1967,0,H043400000,,9,320,,,"1,986.88",40.63139,-75.40889
PA014979,HWB23,42077009100,PA 378 (LR 1007),State Highway Agency,,20.6,3,21,5,,,1999,0,H051000000,,N,33621,,,"1,927.90",40.64833,-75.41667
PA014980,HWB3 ,42077005402,SR 863(LR 39066),State Highway Agency,,12.6,1,27,3,,,1958,0,H044100000,,N,2682,,,"1,001.21",40.59667,-75.705
PA014982,HWB3 ,42077005902,SR 987 (LR 39031),State Highway Agency,,30.5,1,63,47,,,1973,0,H046200000,,N,21806,,,"5,385.69",40.64333,-75.43167
PA014984,HWB3 ,42077006203,SR1002WB(LR443PAR),State Highway Agency,,12.7,1,37,51,,,1953,0,H043900000,,N,7571,,,897.03,40.59333,-75.58167
PA014988,HWB28,42077000400,SR1002TILGHMAN/157,State Highway Agency,,16.4,12,56,0,,,1929,0,H105600000,,8,26518,,,"12,249.71",40.61667,-75.45667
PA014989,HWB3 ,42077000102,SR 1002 UNION BLVD,City Highway Agency,,16.8,1,18,20,,,1929,0,67000000,,N,13138,,,593.31,40.61833,-75.45667
PA014990,HWB15,42077005602,SR1004;LR39032/125,State Highway Agency,,10.4,4,32,20,,,1957,0,68500000,,6,6903,,,"2,166.99",40.64672,-75.47108
PA014994,HWB23,42077009100,SR 1009 (LR48049),State Highway Agency,,25.5,3,17,13,,,1998,0,H052500000,,N,7444,,,"2,296.42",40.65,-75.41167
PA014995,HWB3 ,42077009100,SR1011,Town Highway Agency,,22.2,1,8,4,,,1967,0,69800000,,N,23414,,,352.81,40.63,-75.395
PA014996,HWB3 ,42077005602,SR 1014 (LR 39037),State Highway Agency,,10.4,1,8,15,,,1932,0,N000000000,,6,10201,,,165.28,40.65606,-75.49483
PA014997,HWB10,42077005602,SR 1014 LEHIGH ST,Town Highway Agency,,9.8,3,12,99,,,1933,0,72100000,,N,10201,,,536.45,40.65833,-75.48667
PA014998,HWB3 ,42077005602,SR 1014 LEHIGH ST,County Highway Agency,,9.1,1,26,42,,,1908,0,69000000,,N,10201,,,433.86,40.66,-75.485
PA014999,HWB28,42077005602,LEHIGH STREET,County Highway Agency,,9.1,4,48,0,,,1908,0,H038100000,,6,5906,,,"3,824.37",40.66,-75.485
PA015001,HWB3 ,42077005702,SR 1015 (LR 39035),State Highway Agency,,22.4,1,27,16,,,1953,0,H042900000,,N,16890,,,"1,107.51",40.63167,-75.47
PA015003,HWB3 ,42077006001, SR 1019 (LR 557),State Highway Agency,,19.4,1,27,4,,,1953,0,H046200000,,N,15993,,,"1,610.06",40.61,-75.53167
PA015005,HWB3 ,42077005601,SR 1023 (APPL.7),State Highway Agency,,10.7,1,9,30,,,1921,0,N000000000,,3,6452,,,188.94,40.67819,-75.52761
