Sample    1 Run    1:
Power System:
Bridge               152   0    
Bridge               152   0    
Bridge               160   0    
Bridge               160   0    
Bridge               160   0    
Bridge               160   0    
Bridge               162   0    
Bridge               162   0    
Bridge               162   0    
Bridge               162   0    
Bridge               169   0    
Bridge               169   0    
Bridge               169   0    
Bridge               169   0    
Bridge               171   0    
Bridge               171   0    
Bridge               171   0    
Bridge               171   0    
Bridge               174   0    
Bridge               174   0    
Bridge               174   0    
Bridge               174   0    
Bridge               175   0    
Bridge               175   0    
Bridge               175   0    
Bridge               175   0    
Bridge               178   0    
Bridge               178   0    
Bridge               178   0    
Bridge               178   0    
Bridge               179   0    
Bridge               179   0    
Bridge               179   0    
Bridge               179   0    
Bridge               180   0    
Bridge               180   0    
Bridge               180   0    
Bridge               180   0    
Bridge               230   0    
Bridge               230   0    
Bridge               230   0    
Bridge               230   0    
Bridge               234   0    
Bridge               234   0    
Bridge               234   0    
Bridge               234   0    
Bridge               92    0    
Bridge               92    0    
Bridge               92    0    
Bridge               92    0    
Road                 6     0    
Road                 6     0    
Road                 8     0    
Road                 8     0    
Road                 26    0    
Road                 26    0    
Road                 27    0    
Road                 27    0    
Road                 30    0    
Road                 30    0    
Road                 40    0    
Road                 40    0    
Road                 48    0    
Road                 48    0    
Road                 51    0    
Road                 51    0    
Road                 81    0    
Road                 81    0    
Road                 90    0    
Road                 90    0    
Road                 101   0    
Road                 101   0    
Road                 107   0    
Road                 107   0    
Road                 110   0    
Road                 110   0    
Road                 113   0    
Road                 113   0    
Road                 117   0    
Road                 117   0    
Road                 120   0    
Road                 120   0    
Road                 132   0    
Road                 132   0    
Road                 134   0    
Road                 134   0    
Road                 136   0    
Road                 136   0    
Road                 137   0    
Road                 137   0    
Road                 141   0    
Road                 141   0    
Road                 144   0    
Road                 144   0    
Road                 148   0    
Road                 148   0    
Road                 155   0    
Road                 155   0    
Road                 157   0    
Road                 157   0    
Road                 162   0    
Road                 162   0    
Road                 177   0    
Road                 177   0    
Road                 182   0    
Road                 182   0    

Sample    1 Run    2:
Power System:
Compoment            Number Date 
Generator            2     0    
Generator            6     0    
Generator            1     0    
Generator            4     0    
Generator            3     0    
Generator            7     0    
Generator            5     0    
Branch               98    0    
Branch               98    0    
Branch               324   0    
Branch               324   0    
Branch               349   0    
